time,day_of_week,city,country,channel,status,game,avg_ccu,preliminary_tag
7/23/2016 12:19,6,Boardman,US,halo,HCS Pro League: EU Summer Relegation - We Know The Secret vs. Dinosaurs (Lower Bracket Finals),Halo 5: Guardians,1748,non_community
7/8/2016 7:25,5,Boardman,US,dexteritybonus,TOTALLY STARTING ON TIME NO PROBLEM YEP,Volgarr the Viking,1747,community
6/5/2016 6:49,0,Boardman,US,scglive,SCG Atlanta Open: Jun. 4-5 | Day 2,Magic: The Gathering,1734,non_community
9/14/2016 18:36,3,Boardman,US,cirno_tv,Some RHYTHM GAMES BABY! [nosrl],K-Shoot Mania,1734,community
6/30/2016 12:14,4,San Francisco,US,flosd,boxbox,League of Legends,1700,community
6/12/2016 0:00,0,Boardman,US,magic,Grand Prix Prague - Day Two - Legacy,Magic: The Gathering,1687,non_community
8/21/2016 10:46,0,Boardman,US,ziqoftw,@Ziqoftw - RMP with Hydra & Niksi PogChamp,World of Warcraft,1636,community
9/7/2016 11:03,3,Boardman,US,epicnamebro,"Final Fantasy Tactics (11a), Dark Souls (1p), and Overwatch (3p)",Dark Souls,1626,community
8/25/2016 15:46,4,Boardman,US,overwatchopen,"SELFLESS vs. SPLYCE - $300,000 OverwatchOpen.com NA Playoffs",Overwatch,1591,non_community
7/6/2016 11:03,3,San Francisco,US,nick_28t,Coffee and FIFA Excellence...,FIFA 16,1585,community
8/15/2016 11:04,1,Boardman,US,valkrin,TSM Valkrin - Master 171 LP  working on Challenger,League of Legends,1577,community
6/30/2016 5:48,4,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM [260/1000] w/ @iGhostNinja,Call of Duty: Black Ops III,1548,community
7/2/2016 21:39,6,San Francisco,US,cirno_tv,@CirnoTV At SGDQ! Back again Saturday! (stream on sunday) <3,SGDQ 2016,1541,community
8/11/2016 11:40,4,Boardman,US,ziqoftw,@Ziqoftw - fire 3s baby  ¯\_(ツ)_/¯,World of Warcraft,1536,community
8/31/2016 21:14,3,Boardman,US,cirno_tv,Back on FRIDAY~,Hyperdimension Neptunia Re;Birth 3: V Century,1498,community
7/26/2016 18:36,2,San Francisco,US,cirno_tv,Neptune! Re;Birth 3! [nosrl],Hyperdimension Neptunia Re;Birth 3: V Century,1473,community
8/25/2016 15:49,4,Boardman,US,manuelferraraxxxtv,[FR/EN] Manuel Is a Big Boy Now!,Dead by Daylight,1471,community
6/29/2016 2:14,3,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM [220/1000] w/ DooM @Garge0,Call of Duty: Black Ops III,1456,community
9/14/2016 6:14,3,Boardman,US,raszi,1/3 FT $27 PLO Turbo + Day 2 WCOOP $40k 1st,Poker,1451,community
6/10/2016 7:17,5,Boardman,US,thechive,8-Bit Salute: 24 Hour Fundraiser,space team,1441,community
7/17/2016 18:13,0,Boardman,US,koopatroopa787,Level 28 - Power PokeStop Farming,Pokémon Go,1420,community
9/5/2016 11:24,1,Boardman,US,jcarverpoker,WCOOP continues 12pm PT/3pm ET/8pm BST/9pm CEST @JasonSomerville,Poker,1416,community
8/24/2016 19:03,3,Boardman,US,skillspecs,stake @Skill_specs,RuneScape,1416,community
7/6/2016 4:03,3,Boardman,US,sovietwomble,I like bees,Dead by Daylight,1379,community
8/11/2016 14:35,4,Boardman,US,stpeach,Sick Stream,Inside,1371,community
9/18/2016 17:46,0,Boardman,US,thatgamestore,The Common Wealth 2,Mortal Kombat X,1354,community
7/25/2016 16:14,1,San Francisco,US,anniebot,Annie Bot | Master series 1-2,League of Legends,1350,community
6/25/2016 15:42,6,Boardman,US,krick3n,havnt playyed this in for ever,Counter-Strike: Global Offensive,1343,community
8/16/2016 17:37,2,Boardman,US,emilylsprx,O.O Emilyispro last stream :(((((,RuneScape,1332,community
8/14/2016 19:07,0,Boardman,US,protonjon,Fortune Cookie: Sick Trick Edition,Tony Hawk's Pro Skater 2,1293,community
8/8/2016 3:33,1,Boardman,US,massansc,Is Yogg-Druid reliable?,Hearthstone: Heroes of Warcraft,1287,community
6/29/2016 13:21,3,Boardman,US,sacriel,BF1 Training!  !cheer !discord #The42nd,Battlefield 4,1281,community
8/12/2016 11:07,5,Boardman,US,hsdogdog,One dog in Karazhan @QNGaming giveaways!,Hearthstone: Heroes of Warcraft,1279,community
7/13/2016 13:03,3,San Francisco,US,esl_overwatch,$100k Overwatch Atlantic Showdown NA Qualifier #2 Ro64 - nubris vs Kingsmen,Overwatch,1279,non_community
6/30/2016 3:29,4,Boardman,US,xxemilyisproxx,I've Quit Runescape!,RuneScape,1275,community
7/1/2016 18:03,5,San Francisco,US,pokimane,[FR/ENG] food and LCS,Social Eating,1270,community
7/8/2016 5:00,5,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [378/1000] w/ @iGhostNinja,Call of Duty: Black Ops III,1252,community
9/3/2016 19:57,6,Boardman,US,superbestfriendsplay,Secret Stream! OVERWATCH: Team #BlackGift vs #StormFeelers,Overwatch,1246,community
6/28/2016 18:18,2,Boardman,US,emily_isapro,I'M LEAVING RUNESCAPE!,RuneScape,1234,community
7/11/2016 19:44,1,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [498/1000] w/ @Bigfoltz,Call of Duty: Black Ops III,1207,community
6/17/2016 18:40,5,Boardman,US,slyfoxhound,( ͡o ͜ʖ ͡o) SUPER SECRET NOT SECRET WEEKEND STREAM ( ͡o ͜ʖ ͡o),Super Meat Boy,1201,community
9/4/2016 5:51,0,Boardman,US,jhzer,I'm BACK!,Rocket League,1184,community
7/1/2016 8:02,5,San Francisco,US,anniebot,Annie Bot | Come relax and enjoy some good music and some good times,League of Legends,1180,community
9/2/2016 6:11,5,Boardman,US,yogscast,SOCIAL EATING,Contradiction: Spot The Liar!,1148,community
6/11/2016 6:13,6,Boardman,US,lceposiedon,Ice Posiedon - Last Stream Ever - Quitting RS Q&A,RuneScape,1143,community
8/7/2016 13:04,0,Boardman,US,ennopp112,Majora's Mask Randomizer,The Legend of Zelda: Majora's Mask,1142,community
6/29/2016 18:41,3,Boardman,US,x_emilyispro_x,I QUIT RUNESCAPE!,RuneScape,1135,community
7/6/2016 5:57,3,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM [331/1000] w/ @iGhostNinja,Call of Duty: Black Ops III,1133,community
8/5/2016 19:22,5,Boardman,US,teddy_recks,Semi-Finals 3v3 UMG Tourney + Semi-Finals 4v4 1nD UMG Tourney #TeddyBears #LokiGang,Call of Duty: Black Ops III,1121,community
7/29/2016 10:35,5,San Francisco,US,anniebot,"Annie Bot | 9,975 Ranked Annie Games",League of Legends,1116,community
7/13/2016 17:40,3,San Francisco,US,lobosjr,"Trying a Pokemon Go stream (warning, prob laggy)",Pokémon Go,1104,community
8/17/2016 22:29,3,Boardman,US,emiiyisprx,O.O Emilyispro last stream :(((((,RuneScape,1100,community
